Code,Short,Long,Price,,,,
PR00033,10.0 x 185,10 LIGHT POLE CLEAN,73.61,,,,
PR00039,10.0 x 230,10 MEDIUM POLE CLEAN,103.68,,,,
PRP100M,10.0 x 230,10 MEDIUM POLE CLEAN PP,121.34,,,,
PRS100M,10.0 x 230,10 MEDIUM POLE CLEAN SYP,100.52,,,,
PR00232,10.0 x 260,10 MEDIUM-STOUT POLE CLEAN,107.29,,,,
PR00048,10.0 x 285,10 STOUT POLE CLEAN,162.28,,,,
PRS100S,10.0 x 285,10 STOUT POLE CLEAN SYP,238.18,,,,
PR00238,10.0 x 305,10 XSTOUT POLE CLEAN,150.50,,,,
PR00155,10.0 x 310,10 XSTOUT POLE CLEAN,150.00,,,,
PR00254,10.0 x 315,10 XXSTOUT POLE CLEAN,230.36,,,,
PR00274,10.0 x 345,10 SUPER STOUT POLE CLEAN,207.98,,,,
PR00038,10.5 x 235,10.5 MEDIUM POLE CLEAN,108.81,,,,
PR00047,10.5 x 290,10.5 STOUT POLE CLEAN,178.45,,,,
PR00239,10.5 x 310,10.5 XSTOUT POLE CLEAN,127.56,,,,
PR00034,11.0 x 195,11 LIGHT POLE CLEAN,85.54,,,,
PR00041,11.0 x 240,11 MEDIUM POLE CLEAN,122.13,,,,
PRP110M,11.0 x 240,11 MEDIUM POLE CLEAN PP,149.81,,,,
PRS110M,11.0 x 240,11 MEDIUM POLE CLEAN SYP,118.94,,,,
PR00234,11.0 x 270,11 MEDIUM-STOUT POLE CLEAN,139.62,,,,
PR00050,11.0 x 295,11 STOUT POLE CLEAN,158.06,,,,
PRP110S,11.0 x 295,11 STOUT POLE CLEAN PP,227.81,,,,
PRS110S,11.0 x 295,11 STOUT POLE CLEAN SYP,255.39,,,,
PR00240,11.0 x 315,11 XSTOUT POLE CLEAN,174.31,,,,
PR00256,11.0 x 325,11 XXSTOUT POLE CLEAN,203.65,,,,
PR00276,11.0 x 355,11 SUPER STOUT POLE CLEAN,223.84,,,,
PR00040,11.5 x 245,11.5 MEDIUM POLE CLEAN,133.41,,,,
PR00049,11.5 x 300,11.5 STOUT POLE CLEAN,207.19,,,,
PRP115S,11.5 x 300,11.5 STOUT POLE CLEAN PP,166.15,,,,
PR00073,12.0 x 250,12 MEDIUM POLE CLEAN,150.29,,,,
PRP120M,12.0 x 250,12 MEDIUM POLE CLEAN PP,172.92,,,,
PRS120M,12.0 x 250,12 MEDIUM POLE CLEAN SYP,148.13,,,,
PR00236,12.0 x 285,12 STOUT POLE CLEAN,195.61,,,,
PR00102,12.0 x 305,12 STOUT POLE CLEAN,234.00,,,,
PRP120S,12.0 x 305,12 STOUT POLE CLEAN PP,181.22,,,,
PR00241,12.0 x 325,12 XSTOUT POLE CLEAN,281.40,,,,
PR00258,12.0 x 335,12 XXSTOUT POLE CLEAN,335.03,,,,
PR00277,12.0 x 365,12 SUPER STOUT POLE CLEAN,419.44,,,,
PR00070,13.0 x 210,13 LIGHT POLE CLEAN,95.98,,,,
PR00074,13.0 x 260,13 MEDIUM POLE CLEAN,181.48,,,,
PR00291,13.0 x 295,13 MEDIUM-STOUT POLE CLEAN,192.61,,,,
PR00104,13.0 x 320,13 STOUT POLE CLEAN,279.67,,,,
PRS130S,13.0 x 320,13 STOUT POLE CLEAN SYP,347.40,,,,
PR00243,13.0 x 340,13 XSTOUT POLE CLEAN,337.49,,,,
PR00260,13.0 x 350,13 XXSTOUT POLE CLEAN,415.76,,,,
PR00279,13.0 x 380,13 SUPER STOUT POLE CLEAN,485.08,,,,
PR00042,14.0 x 275,14 MEDIUM POLE CLEAN,199.67,,,,
PR00227,14.0 x 305,140 EX-MEDIUM POLE CLEAN,200.00,,,,
PR00053,14.0 x 335,14 STOUT POLE CLEAN,328.07,,,,
PR00244,14.0 x 355,14 XSTOUT POLE CLEAN,421.90,,,,
PR00262,14.0 x 365,14 XXSTOUT POLE CLEAN,485.08,,,,
